total_trans_amt,total_trans_ct,total_amt_chng_q4_q1,total_revolving_bal,total_ct_chng_q4_q1,months_inactive_12_mon,contacts_count_12_mon,total_relationship_count,credit_limit,avg_utilization_ratio
2187,59,1.054,491,0.405,3,3,6,6242.0,0.079
4240,67,0.605,1574,0.396,2,2,1,7600.0,0.207
1742,41,0.723,0,0.323,2,3,5,15942.0,0.0
12576,103,0.856,0,0.776,3,2,2,6704.0,0.0
1987,47,0.86,989,0.808,2,2,6,1539.0,0.643
4894,84,0.631,1333,0.647,2,3,3,4416.0,0.302
4175,67,0.511,1465,0.718,3,5,5,7563.0,0.194
1636,36,0.638,1521,0.385,3,1,3,2514.0,0.605
2316,48,0.676,0,0.5,3,6,5,1438.3,0.0
2443,38,0.882,696,0.583,3,5,2,3853.0,0.181
5235,76,0.687,1185,1.0,2,1,2,1596.0,0.742
4385,78,0.714,2201,0.66,1,3,6,4202.0,0.524
1904,42,0.619,2517,0.448,2,3,1,13453.0,0.187
5533,85,0.898,2240,0.735,2,3,6,3347.0,0.669
2283,46,0.69,0,0.586,2,5,3,1556.0,0.0
969,29,0.781,1932,1.071,1,4,4,8902.0,0.217
1805,44,0.785,2517,0.467,1,4,4,3030.0,0.831
7470,82,0.643,1412,0.783,5,2,1,12265.0,0.115
1385,31,0.712,1286,0.722,1,3,5,9343.0,0.138
4303,89,0.807,916,0.78,2,2,3,1937.0,0.473
2119,52,1.43,1909,1.08,2,4,5,10386.0,0.184
3946,69,0.617,1307,0.683,2,3,5,3331.0,0.392
4506,90,0.695,1638,0.957,2,3,6,12084.0,0.136
2066,46,0.631,0,0.769,3,4,1,33384.0,0.0
2298,55,0.572,907,0.719,1,2,3,34516.0,0.026
5067,69,0.825,920,0.865,3,3,1,1517.0,0.606
3598,72,0.682,0,0.532,2,1,6,11524.0,0.0
4509,71,0.548,703,0.543,1,1,4,10762.0,0.065
2381,40,0.63,1821,0.481,3,4,6,12050.0,0.151
1087,29,0.469,1540,1.231,2,2,6,2405.0,0.64
1804,49,0.76,2387,0.75,2,2,6,5822.0,0.41
2138,41,0.424,0,0.577,3,2,4,1567.0,0.0
4769,84,0.734,0,0.826,2,0,2,1438.3,0.0
3490,62,0.735,0,0.938,3,0,6,11879.0,0.0
1654,30,0.565,0,0.579,1,4,3,7191.0,0.0
15380,122,0.779,888,0.694,2,2,3,7935.0,0.112
1727,37,0.777,1942,0.85,2,4,6,6710.0,0.289
7517,76,0.679,0,0.617,2,2,2,4752.0,0.0
3183,64,0.8,2098,0.73,1,5,3,15198.0,0.138
1541,33,0.707,1135,0.833,2,5,3,2165.0,0.524
7962,89,0.62,1699,0.561,1,3,2,9815.0,0.173
3295,66,0.483,1962,0.61,3,0,4,3397.0,0.578
4649,74,0.737,2148,0.947,3,1,4,10457.0,0.205
1930,36,0.986,0,0.44,1,4,5,34516.0,0.0
2645,60,0.69,0,0.622,2,4,3,1690.0,0.0
7728,93,0.705,1383,0.576,3,2,2,18224.0,0.076
8766,78,0.698,2156,0.814,2,2,2,34516.0,0.062
1641,35,0.521,0,0.591,4,5,2,34516.0,0.0
1205,28,0.648,2094,0.867,5,2,6,29963.0,0.07
5038,86,0.615,1093,0.83,1,2,4,2572.0,0.425
4760,69,0.873,851,0.917,1,0,6,2432.0,0.35
5059,79,0.819,1224,0.681,2,2,5,2097.0,0.584
644,15,0.236,592,0.154,2,3,3,1575.0,0.376
1953,61,0.574,1604,0.649,3,3,3,3506.0,0.458
14103,112,0.697,1908,0.672,3,1,2,6546.0,0.291
2255,48,0.556,1195,0.5,3,4,6,3517.0,0.34
4096,76,0.58,1317,0.727,3,4,4,2687.0,0.49
2553,61,0.767,1149,0.794,1,2,6,5663.0,0.203
13849,128,0.621,1413,0.882,1,3,1,14002.0,0.101
14593,110,0.847,1871,0.803,2,1,2,3845.0,0.487
4792,69,0.479,1783,0.643,2,3,3,3103.0,0.575
3634,62,0.95,1170,0.676,5,2,3,16277.0,0.072
1534,29,1.134,1257,0.933,1,2,3,4789.0,0.262
3847,76,0.669,1488,0.9,3,1,6,4433.0,0.336
4607,83,0.711,941,0.93,2,2,5,3478.0,0.271
7722,94,0.718,1168,0.469,3,3,2,25737.0,0.045
7724,79,0.868,1287,0.58,1,1,2,15155.0,0.085
1025,28,0.541,2070,0.647,2,0,4,2826.0,0.732
1570,45,0.6,954,0.452,2,2,5,4734.0,0.202
14054,105,0.841,0,0.694,3,3,2,3848.0,0.0
7890,91,0.807,630,0.685,3,3,1,15365.0,0.041
2298,48,0.644,996,0.655,1,4,6,4092.0,0.243
4859,73,1.24,1196,0.973,2,3,2,1472.0,0.812
3921,63,0.584,0,0.8,2,1,3,3549.0,0.0
3399,66,0.711,510,0.784,4,2,6,1438.3,0.355
2383,39,0.543,458,0.444,3,2,2,1470.0,0.312
4833,73,0.886,0,0.521,1,2,4,3716.0,0.0
4587,76,0.899,1387,0.551,1,3,3,3167.0,0.438
4924,70,0.941,1053,0.795,1,1,3,1956.0,0.538
4682,81,1.036,2214,0.841,6,2,3,2679.0,0.826
2682,64,1.003,2422,0.641,3,4,4,11176.0,0.217
706,21,0.967,0,0.5,3,2,3,4320.0,0.0
2801,51,0.864,970,1.217,3,3,2,1504.0,0.645
3432,68,0.672,1255,0.744,2,2,3,7062.0,0.178
1683,50,0.685,2289,0.471,3,4,5,12291.0,0.186
4514,70,0.482,0,0.591,2,2,1,11250.0,0.0
2520,61,1.295,2227,0.848,1,2,3,7709.0,0.289
4904,75,0.63,870,0.829,1,1,3,3299.0,0.264
4204,77,0.587,900,0.791,1,3,4,4461.0,0.202
4479,82,0.743,0,0.822,2,3,6,6602.0,0.0
3587,66,0.938,1671,0.571,3,4,3,26792.0,0.062
4754,79,0.761,860,0.837,1,4,4,1438.3,0.598
4689,65,0.865,488,0.477,1,1,6,4283.0,0.114
2932,44,0.89,0,0.913,2,0,6,1439.0,0.0
3913,78,0.854,0,0.5,3,3,6,1438.3,0.0
4286,72,0.51,1594,0.636,2,2,4,14858.0,0.107
4351,86,1.1,1651,0.83,2,2,3,2485.0,0.664
5326,62,0.894,1454,0.676,2,0,2,3742.0,0.389
7694,85,0.821,1739,0.7,2,2,1,2000.0,0.87
2354,49,0.762,1350,0.96,3,3,1,2272.0,0.594
1775,42,0.569,0,0.556,2,5,1,17667.0,0.0
15817,121,0.813,1790,0.754,3,3,3,22722.0,0.079
3281,39,0.542,0,0.393,5,2,5,3536.0,0.0
8165,87,0.973,573,0.776,3,2,2,11077.0,0.052
1330,34,0.703,2517,1.125,2,2,3,18584.0,0.135
2007,46,0.869,1758,1.0,2,3,6,11699.0,0.15
1208,25,0.701,836,1.083,3,2,4,24880.0,0.034
704,16,1.052,605,0.143,4,3,5,7882.0,0.077
1872,34,0.942,1101,1.125,3,4,6,5940.0,0.185
2445,39,0.783,1214,0.444,2,2,5,1438.3,0.844
3706,65,0.619,0,0.585,1,3,6,2761.0,0.0
5097,79,0.766,2499,0.795,3,3,3,4651.0,0.537
5371,93,0.768,2182,0.824,2,2,5,2822.0,0.773
4167,86,0.695,0,0.593,3,0,6,4862.0,0.0
1569,39,0.728,1272,1.053,2,3,4,2637.0,0.482
1888,39,0.618,1625,0.625,2,4,3,3792.0,0.429
3546,63,0.566,1131,0.615,2,2,4,6182.0,0.183
4699,81,0.69,1811,0.841,4,3,4,1964.0,0.922
3768,79,0.974,1667,0.681,2,1,3,2393.0,0.697
8360,94,0.66,1627,0.843,2,3,2,33565.0,0.048
15391,94,0.727,1155,0.593,1,1,1,3616.0,0.319
5547,75,1.032,0,0.744,3,2,2,34516.0,0.0
4904,82,0.929,1313,0.673,2,2,1,2205.0,0.595
4160,81,0.804,2517,0.653,3,4,5,16156.0,0.156
2060,52,0.319,0,0.529,2,2,2,1707.0,0.0
4219,78,0.949,716,0.592,3,1,3,2926.0,0.245
4544,84,0.875,0,0.75,1,4,5,2267.0,0.0
1913,35,1.368,2175,0.667,2,2,4,3568.0,0.61
15738,116,0.856,1722,0.657,1,3,1,32535.0,0.053
14230,111,0.863,1729,0.79,2,1,1,15223.0,0.114
13674,101,0.926,2488,0.836,2,1,2,5325.0,0.467
1590,27,1.129,1219,2.0,4,2,5,34516.0,0.035
4252,70,0.741,1338,0.591,1,2,3,8896.0,0.15
2491,64,0.88,1397,1.0,2,4,3,3827.0,0.365
3761,58,0.623,865,0.657,3,1,2,16258.0,0.053
1246,31,0.938,2517,0.824,1,0,4,2763.0,0.911
7690,87,0.689,1464,0.673,1,1,2,34516.0,0.042
1970,51,0.651,1953,0.645,4,4,6,14228.0,0.137
13140,94,0.699,2517,0.709,2,2,2,3466.0,0.726
4624,75,0.752,2042,0.705,3,2,4,3264.0,0.626
3215,56,1.326,1480,0.806,3,3,6,16050.0,0.092
2094,25,1.148,1475,0.667,2,2,4,5269.0,0.28
1457,43,0.526,0,0.387,3,4,4,2594.0,0.0
5108,78,0.92,0,1.0,1,2,5,8332.0,0.0
1390,44,0.712,763,0.76,3,3,6,13768.0,0.055
1191,28,0.668,0,0.647,1,3,6,12766.0,0.0
7678,93,0.752,0,0.691,1,1,2,7037.0,0.0
15476,117,0.703,1851,0.857,2,3,3,4003.0,0.462
1731,54,0.692,896,0.5,3,3,6,1467.0,0.611
3825,76,0.783,0,0.949,2,2,5,21328.0,0.0
3358,62,0.667,1043,0.722,1,3,4,5071.0,0.206
8444,68,0.838,761,0.744,3,1,2,34516.0,0.022
4684,81,0.695,2213,0.8,3,1,5,3086.0,0.717
9389,106,0.84,1132,0.797,1,2,2,34516.0,0.033
5575,73,0.778,1058,0.738,2,1,1,1795.0,0.589
2017,37,0.5,0,0.762,3,3,2,2468.0,0.0
1473,35,0.378,817,0.522,2,3,5,30967.0,0.026
2298,67,0.652,0,0.457,3,3,6,3176.0,0.0
4708,81,0.661,888,0.558,2,1,3,2242.0,0.396
2196,35,0.693,0,0.75,3,2,6,1781.0,0.0
4214,83,0.583,1532,0.537,1,3,4,2799.0,0.547
3831,81,0.892,0,0.761,2,3,6,4663.0,0.0
4859,82,0.78,1595,0.864,1,2,6,2525.0,0.632
5409,79,0.959,2517,0.881,2,3,6,3143.0,0.801
5247,84,0.729,1046,0.615,2,2,2,1621.0,0.645
4258,77,0.777,1429,0.75,2,3,6,1656.0,0.863
4168,63,1.01,1778,0.853,3,3,5,3119.0,0.57
761,17,0.856,0,0.214,5,3,2,6462.0,0.0
3774,63,1.201,1384,0.658,3,2,6,13719.0,0.101
4277,59,0.723,1138,0.788,2,3,3,8082.0,0.141
4349,69,0.699,2123,0.725,2,2,3,2477.0,0.857
4690,79,0.706,2395,0.756,1,1,2,4468.0,0.536
13376,129,0.663,0,0.72,3,2,2,34516.0,0.0
7463,70,0.776,0,0.707,2,4,6,4063.0,0.0
14043,117,0.741,1681,0.746,3,2,5,26710.0,0.063
1429,32,0.543,1326,0.455,2,2,6,2246.0,0.59
4275,76,0.607,1600,0.551,3,4,4,2258.0,0.709
4666,98,0.783,0,0.719,1,1,3,1912.0,0.0
3534,56,0.697,0,1.0,2,3,4,21114.0,0.0
3940,74,0.561,1888,0.805,1,2,3,4143.0,0.456
8193,72,1.041,2517,0.846,3,3,2,14682.0,0.171
7872,103,0.741,0,0.635,2,1,2,23981.0,0.0
2090,50,0.626,455,0.562,3,3,6,1438.3,0.316
8852,95,0.76,1584,0.759,1,2,2,2519.0,0.629
5056,81,0.901,1388,0.8,3,3,4,1844.0,0.753
4399,54,0.494,0,0.862,3,3,4,2667.0,0.0
673,18,0.654,0,0.8,3,3,1,8025.0,0.0
2585,75,0.754,1890,0.829,1,2,5,7772.0,0.243
4338,75,0.756,1396,0.829,3,2,3,5384.0,0.259
2690,43,0.717,0,0.955,3,2,5,4710.0,0.0
7801,74,0.62,2517,0.644,1,1,1,3442.0,0.731
1834,55,0.553,1856,0.571,1,1,5,5184.0,0.358
7289,75,0.622,2058,0.705,3,3,1,3062.0,0.672
2478,52,0.809,1664,0.926,3,3,5,2775.0,0.6
3756,70,0.938,659,0.842,1,3,4,3640.0,0.181
5244,75,0.687,1192,0.471,1,4,4,6728.0,0.177
842,24,0.927,916,0.5,2,3,2,6630.0,0.138
3942,69,1.258,1489,0.816,2,5,4,4396.0,0.339
2198,40,0.602,1200,0.538,2,2,3,9819.0,0.122
4077,70,0.756,1386,0.628,1,2,6,4728.0,0.293
1789,48,0.376,2517,0.455,2,4,4,34516.0,0.073
2428,53,0.574,0,0.893,2,4,5,8624.0,0.0
3161,77,0.689,1671,0.878,1,3,6,5015.0,0.333
1559,39,0.906,1791,1.167,1,2,6,32156.0,0.056
1691,47,0.712,0,0.516,1,3,5,7453.0,0.0
4751,81,0.657,710,0.884,3,2,2,1529.0,0.464
4444,84,0.789,2079,0.909,2,1,3,2905.0,0.716
1922,48,0.926,0,0.6,3,1,4,20614.0,0.0
4962,72,0.726,1559,0.714,3,1,4,7958.0,0.196
3535,65,0.745,1429,0.667,3,1,5,4908.0,0.291
4355,87,0.989,0,0.977,1,4,6,2051.0,0.0
9931,70,1.007,0,0.75,3,4,4,34516.0,0.0
4051,81,0.705,642,0.761,1,3,6,27436.0,0.023
2409,36,1.633,987,0.8,3,2,4,22149.0,0.045
4256,73,0.566,0,0.622,2,4,4,1520.0,0.0
2135,44,0.561,0,0.419,3,4,2,3313.0,0.0
4922,84,0.914,2517,0.68,1,1,3,3422.0,0.736
4911,82,0.712,1245,0.864,2,3,1,2647.0,0.47
4050,58,0.985,1433,0.611,2,2,6,1651.0,0.868
2023,37,0.941,1482,0.542,2,2,3,32658.0,0.045
2310,48,0.615,0,0.714,4,2,4,5763.0,0.0
8904,101,0.716,1425,0.656,2,1,2,6530.0,0.218
2392,44,0.777,0,0.375,2,4,5,1438.3,0.0
4111,62,0.646,0,0.55,3,4,3,1438.3,0.0
1748,38,0.558,1271,0.9,2,5,4,5366.0,0.237
2492,50,0.722,2517,0.515,2,3,6,3119.0,0.807
3934,78,0.432,1893,0.592,1,2,5,27378.0,0.069
4106,85,0.558,1977,0.809,3,4,5,23391.0,0.085
1504,34,0.588,1260,0.789,1,3,3,34516.0,0.037
8029,81,0.92,1655,0.723,2,3,1,26438.0,0.063
1296,31,0.518,2281,0.348,1,2,5,3410.0,0.669
16712,123,0.851,1913,0.708,1,4,3,34516.0,0.055
2258,37,0.763,0,0.609,4,2,3,1606.0,0.0
5102,83,0.73,491,0.694,1,2,2,1438.3,0.341
4613,82,0.724,0,1.0,2,3,2,4883.0,0.0
4750,76,1.308,1303,0.9,2,1,4,2730.0,0.477
4162,70,0.631,0,1.0,3,3,6,8513.0,0.0
1744,53,0.76,2216,0.606,3,2,3,2947.0,0.752
1322,38,0.448,564,0.652,1,3,4,21308.0,0.026
1685,44,0.768,1337,0.375,2,4,6,2220.0,0.602
4518,79,0.681,2126,0.795,1,2,3,6223.0,0.342
1339,29,0.488,2517,0.381,2,4,5,23996.0,0.105
4234,75,0.712,0,0.786,4,0,6,1537.0,0.0
4220,83,0.785,563,0.844,2,4,3,1529.0,0.368
4163,83,0.588,1160,0.804,2,3,2,3172.0,0.366
2247,36,1.254,2517,0.636,1,3,3,2859.0,0.88
14212,100,0.618,1562,0.667,3,1,3,34516.0,0.045
8248,66,0.841,2517,0.65,3,2,4,34516.0,0.073
4254,77,1.008,2276,0.711,1,4,4,6508.0,0.35
1507,32,0.01,0,0.0,3,1,3,5590.0,0.0
4905,80,0.883,2349,0.739,2,1,1,3318.0,0.708
4755,58,0.688,773,0.706,3,3,6,7540.0,0.103
4047,76,0.785,852,0.81,2,3,4,13598.0,0.063
2813,43,0.896,0,0.536,2,2,4,1763.0,0.0
5052,81,0.969,0,0.761,3,3,5,2653.0,0.0
2201,46,1.173,1988,1.091,1,3,6,9347.0,0.213
1771,41,0.434,0,0.367,3,4,6,4153.0,0.0
